Name,Status,District,"Population
Census
1991-03-01","Population
Census
2001-03-01","Population
Census
2011-03-01"
Kundrathur,Town Panchayat with Outgrowth,Kanchipuram,...,"25,007","54,986"
Kuniyamuthur,Municipality,Coimbatore,"37,803","58,900","95,924"
Kunnathur,Town Panchayat,Tiruppur,...,"7,032","8,774"
Kurichi,Municipality,Coimbatore,"64,796","77,853","123,667"
Kurinjipadi,Town Panchayat,Cuddalore,"23,117","22,883","27,471"
Kurudampalayam,Census Town,Coimbatore,...,"13,534","18,749"
Kurukkupatti,Census Town,Salem,...,...,"5,037"
Kurumbalur,Town Panchayat,Perambalur,...,"11,126","12,420"
Kurumbapatti,Census Town,Dindigul,...,"4,416","6,182"
Kuruppanaickenpalayam,Census Town,Erode,...,...,"7,484"
Kuthalam,Town Panchayat,Nagapattinam,...,"13,444","16,125"
Kuthanallur,Municipality,Thiruvarur,"21,870","22,995","25,423"
Kuthankuzhi,Census Town,Tirunelveli,...,...,"5,118"
Kuzhithurai,Municipality,Kanniyakumari,"19,226","20,503","21,307"
Labbaikudikadu,Town Panchayat,Perambalur,...,"8,741","11,891"
Lakkampatti,Town Panchayat,Erode,...,"11,038","11,716"
Lakkiampatti,Census Town,Dharmapuri,...,...,"39,697"
Lakshminarayanapuram,Census Town,Cuddalore,...,"12,648","12,648"
Lalgudi,Town Panchayat,Tiruchirappalli,"21,595","23,405","23,740"
Lalpet,Town Panchayat,Cuddalore,...,"13,817","16,561"
Madaharpakkam,Census Town,Thiruvallur,...,...,"4,250"
Madambakkam,Town Panchayat,Kanchipuram,...,"16,996","31,681"
Madambakkam (in: Sriperumbudur subdistrict),Census Town,Kanchipuram,...,...,"11,673"
Madathukulam,Town Panchayat,Tiruppur,...,"20,352","20,620"
Madavaram (Madhavaram),Municipality,Thiruvallur,"49,256","76,093","119,105"
Madippakkam (Madipakkam),Census Town,Kanchipuram,"11,437","15,548","35,752"
Madukkarai,Town Panchayat,Coimbatore,"18,110","26,441","30,357"
Madukkur,Town Panchayat,Thanjavur,...,"15,426","16,266"
Madurai,Municipal Corporation,Madurai,"940,989","928,869","1,017,865"
Maduranthakam,Municipality,Kanchipuram,"26,947","29,059","30,796"
Maduravoyal,Municipality,Thiruvallur,"14,881","43,609","86,195"
Majaragollappatti,Census Town,Salem,...,"4,156","4,727"
Makkinampatti,Census Town,Coimbatore,...,"6,372","8,134"
Malayadi,Census Town,Kanniyakumari,...,...,"7,812"
Mallamooppampatti,Census Town,Salem,"6,582","6,783","10,199"
Mallankinaru,Town Panchayat,Virudhunagar,...,"11,823","12,986"
Mallasamudram,Town Panchayat,Namakkal,"13,062","17,181","18,007"
Mallur,Town Panchayat,Salem,"7,939","9,503","10,331"
Malumichampatti,Census Town,Coimbatore,...,"7,176","12,936"
Mamallapuram (Mahabalipuram),Town Panchayat,Kanchipuram,...,"12,345","15,172"
Mamsapuram,Town Panchayat,Virudhunagar,...,"17,927","18,635"
Manachanallur,Town Panchayat,Tiruchirappalli,"18,611","21,511","25,931"
Manakudi,Census Town,Kanniyakumari,...,...,"4,083"
Manali,Municipality,Thiruvallur,"19,093","28,597","35,248"
Manalmedu,Town Panchayat,Nagapattinam,...,"9,275","9,017"
Manalurpet,Town Panchayat,Viluppuram,...,"7,401","8,523"
Manamadurai,Town Panchayat,Sivaganga,"22,879","26,253","32,257"
Manapakkam,Census Town,Kanchipuram,...,"8,605","13,344"
Manapparai,Municipality,Tiruchirappalli,"31,837","35,770","40,510"
Manavalakurichi,Town Panchayat,Kanniyakumari,...,"10,412","10,969"
Mancad,Census Town,Kanniyakumari,...,...,"4,889"
Mandaikadu,Town Panchayat,Kanniyakumari,...,"12,375","13,317"
Mandapam,Town Panchayat,Ramanathapuram,"19,935","16,343","18,427"
Mangadu,Town Panchayat,Kanchipuram,...,"19,420","38,188"
Mangalam,Census Town,Tiruppur,...,"10,016","17,699"
Mangalampet,Town Panchayat,Cuddalore,...,"7,281","9,278"
Manickapuram,Census Town,Tiruppur,...,...,"6,215"
Manimutharu,Town Panchayat,Tirunelveli,...,"12,613","11,323"
Manjakollai,Census Town,Nagapattinam,...,...,"5,040"
Manjalumoodu,Census Town,Kanniyakumari,...,...,"6,840"
Mannarai,Census Town,Tiruppur,...,...,"17,261"
Mannargudi,Municipality,Thiruvarur,"56,552","61,478","66,999"
Manthithoppu,Census Town,Thoothukkudi,...,"4,113","6,143"
Mappilaiurani,Census Town,Thoothukkudi,"13,327","27,361","40,035"
Maraimalainagar,Municipality,Kanchipuram,...,"48,463","81,872"
Marakkanam,Town Panchayat,Viluppuram,...,"19,139","22,034"
Maramangalathupatti,Census Town,Salem,"8,311","11,385","12,448"
Marandahalli,Town Panchayat,Dharmapuri,...,"10,177","12,451"
Markayankottai,Town Panchayat,Theni,...,"5,829","6,135"
Marudur,Town Panchayat,Karur,...,"10,214","10,925"
Marungur (Marungoor),Town Panchayat,Kanniyakumari,...,"10,103","11,236"
Maruthancode,Census Town,Kanniyakumari,...,...,"8,277"
Masinaickenpatty,Census Town,Salem,...,...,"9,098"
Mathicode,Census Town,Kanniyakumari,...,...,"6,532"
Mathigiri,Town Panchayat,Krishnagiri,...,"15,257","23,129"
Mathur,Census Town,Thiruvallur,...,...,"27,674"
Mayiladuthurai,Municipality,Nagapattinam,"76,837","84,505","85,632"
Mecheri,Town Panchayat,Salem,...,"20,455","25,676"
Medavakkam,Census Town,Kanchipuram,...,...,"29,710"
Meenambakkam,Town Panchayat with Outgrowth,Kanchipuram,...,"3,609","24,334"
Melacheval,Town Panchayat,Tirunelveli,...,"7,780","8,435"
Melachokkanathapuram,Town Panchayat,Theni,...,"11,669","15,625"
Melagaram,Town Panchayat,Tirunelveli,...,"12,897","14,535"
Melamadai,Census Town,Madurai,"14,086","29,098","43,797"
Melaparthibanur,Census Town,Ramanathapuram,...,"7,752","8,232"
Melathiruppanthuruthi,Town Panchayat,Thanjavur,...,"8,412","9,074"
Melattur,Town Panchayat,Thanjavur,...,"8,103","8,131"
Melpattampakkam,Town Panchayat,Cuddalore,...,"6,598","6,887"
Melur,Municipality,Madurai,"32,878","33,881","40,017"
Melvisharam,Municipality,Vellore,"26,613","36,757","44,786"
Methukummal,Census Town,Kanniyakumari,...,...,"19,417"
Mettamalai,Census Town,Virudhunagar,...,"4,367","5,175"
Mettunasuvanpalayam,Census Town,Erode,...,"14,278","17,240"
Mettupalayam,Municipality,Coimbatore,"63,479","66,595","69,213"
Mettupalayam,Town Panchayat,Tiruchirappalli,...,"7,550","7,681"
Mettur,Municipality,Salem,"45,773","53,633","52,813"
Mevalurkuppam,Census Town,Kanchipuram,...,...,"3,805"
Midalam,Census Town,Kanniyakumari,...,...,"8,625"
Milavittan,Census Town,Thoothukkudi,...,"30,758","45,863"
Minampalli-Pachamadevi,Census Town,Karur,...,...,"9,031"
Minjur,Town Panchayat,Thiruvallur,...,"23,742","28,337"
Modakurichi,Town Panchayat,Erode,...,"10,052","9,907"
Mohanur,Town Panchayat,Namakkal,...,"12,468","14,315"
Molachur,Census Town,Kanchipuram,...,"6,149","8,887"
Mookondapalli,Census Town,Krishnagiri,...,...,"39,245"
Moolakaraipatti,Town Panchayat,Tirunelveli,...,"9,742","11,112"
Moovarasampettai,Census Town,Kanchipuram,...,"6,162","9,672"
Mopperipalayam,Town Panchayat,Coimbatore,...,"8,732","10,923"
Morattupalayam,Census Town,Tiruppur,...,...,"5,798"
Mudukulathur,Town Panchayat,Ramanathapuram,...,"13,126","14,789"
Mugalivakkam,Census Town,Kanchipuram,...,...,"25,117"
Mukasipidariyur,Census Town,Erode,"9,006","11,012","14,143"
Mukkudal,Town Panchayat,Tirunelveli,...,"13,955","14,983"
Mulagumudu,Town Panchayat,Kanniyakumari,...,"18,057","19,538"
Mulanur,Town Panchayat,Tiruppur,...,"13,827","15,223"
Mullipattu,Census Town,Tiruvannamalai,...,"4,401","4,956"
Muruganpalayam,Census Town,Tiruppur,...,"14,440","26,349"
Musiri,Town Panchayat,Tiruchirappalli,"22,103","27,941","28,727"
Muthanampalayam,Census Town,Tiruppur,...,...,"26,014"
Muthugoundam Pudur,Census Town,Coimbatore,...,...,"10,259"
Muthukadu,Census Town,Kanchipuram,...,...,"7,610"
Muthupet,Town Panchayat,Thiruvarur,...,"17,383","21,722"
Muthur,Town Panchayat,Tiruppur,...,"11,880","13,212"
Muttayyapuram,Census Town,Thoothukkudi,"26,005","31,813","32,494"
Muzhucode,Census Town,Kanniyakumari,...,...,"8,000"
Mylaudy (Myladi),Town Panchayat,Kanniyakumari,...,"9,001","10,070"
Nadaikavu,Census Town,Kanniyakumari,...,...,"8,727"
Nadukuthagai,Census Town,Thiruvallur,...,"6,283","9,251"
Naduvaneri,Census Town,Salem,...,"7,463","8,485"
Naduvattam,Town Panchayat,The Nilgiris,"11,578","11,370","8,505"
Nagamalaipudukottai,Census Town,Madurai,...,...,"15,769"
Nagamangalam,Census Town,Tiruchirappalli,...,"4,322","5,785"
Nagapattinam,Municipality,Nagapattinam,"86,489","93,148","102,905"
Nagavakulam,Census Town,Madurai,...,"17,803","23,284"
Nagercoil,Municipality,Kanniyakumari,"190,084","208,179","224,849"
Nagojanahalli,Town Panchayat,Krishnagiri,...,"8,409","9,953"
Nallampatti,Town Panchayat,Erode,...,"3,656","3,874"
Nallipalayam,Census Town,Namakkal,...,...,"5,078"
Nalloor (Nallur),Town Panchayat,Kanniyakumari,...,"15,563","17,989"
Nallur,Census Town,Tirunelveli,...,...,"7,828"
Nallur $,Census Town,Thiruvallur,...,...,"19,595"
Namagiripettai,Town Panchayat,Namakkal,...,"21,446","21,250"
Namakkal,Municipality,Namakkal,"45,038","53,055","55,145"
Nambiyur,Town Panchayat,Erode,...,"15,854","16,379"
Nandambakkam,Town Panchayat,Kanchipuram,"10,563","9,343","11,239"
Nandivaram - Guduvancheri,Town Panchayat,Kanchipuram,"19,347","26,575","44,098"
Nangavalli,Town Panchayat,Salem,...,"9,676","10,809"
Nangavaram,Town Panchayat,Karur,...,"16,408","17,629"
Nanguneri,Town Panchayat,Tirunelveli,...,"6,758","6,640"
Nanjikottai,Census Town,Thanjavur,...,"21,935","32,689"
Nannilam,Town Panchayat,Thiruvarur,...,"11,056","12,618"
Naranammalpuram,Town Panchayat,Tirunelveli,"14,884","16,318","17,094"
Naranapuram,Census Town,Virudhunagar,...,"9,331","11,665"
Narasimhanaicken-palayam,Town Panchayat,Coimbatore,...,"11,271","17,858"
Narasingam,Census Town,Madurai,...,...,"5,971"
Narasingapuram,Census Town,Vellore,...,"10,563","11,454"
Narasingapuram,Municipality,Salem,...,"18,690","23,084"
Naravarikuppam,Town Panchayat,Thiruvallur,"17,409","18,331","20,946"
Nasiyanur,Town Panchayat,Erode,...,"9,905","10,970"
Natchiarkoil,Census Town,Thanjavur,...,"7,128","7,505"
Natham,Town Panchayat,Dindigul,...,"22,545","23,660"
Nathampannai,Census Town,Pudukkottai,...,"6,426","8,915"
Natrampalli,Town Panchayat,Vellore,...,"9,134","10,390"
Nattalam,Census Town,Kanniyakumari,...,...,"7,674"
Nattapettai,Census Town,Kanchipuram,"9,923","10,111","19,883"
Nattarasankottai,Town Panchayat,Sivaganga,"5,693","6,586","5,860"
Navalpattu,Census Town,Tiruchirappalli,"13,826","15,394","16,788"
Navlock Garden,Census Town,Vellore,...,...,"20,171"
Nazarathpettai,Census Town,Thiruvallur,...,"5,157","8,660"
Nazerath,Town Panchayat,Thoothukkudi,...,"16,960","16,584"
Nedungundram,Census Town,Kanchipuram,...,...,"14,390"
Needamangalam,Town Panchayat,Thiruvarur,...,"8,730","9,336"
Neelagiri,Census Town,Thanjavur,...,"11,044","16,197"
Neelambur,Census Town,Coimbatore,...,...,"8,382"
Neelankarai,Census Town,Kanchipuram,...,"15,637","28,458"
Neikkarapatti,Town Panchayat,Dindigul,...,"12,099","11,753"
Nellikuppam,Municipality,Cuddalore,"42,783","44,222","46,678"
Nelliyalam,Municipality,The Nilgiris,"37,787","41,837","44,590"
Nemili,Town Panchayat,Vellore,...,"9,217","10,806"
Nemilicheri,Census Town,Thiruvallur,...,"4,831","5,743"
Neripperichal,Census Town,Tiruppur,...,"16,372","53,579"
Nerkunram (Nerkundram),Census Town,Thiruvallur,"21,338","39,826","59,790"
Nerkuppai,Town Panchayat,Sivaganga,...,"5,689","7,165"
Nerunjipettai,Town Panchayat,Erode,...,"6,925","6,791"
Neykkarappatti,Census Town,Salem,"7,645","9,869","12,090"
Neyveli,Township,Cuddalore,"118,080","127,552","105,731"
Neyyoor,Town Panchayat,Kanniyakumari,...,"12,288","12,917"
Nilaiyur I Bit,Census Town,Madurai,...,...,"14,684"
Nilakkottai,Town Panchayat,Dindigul,"14,770","19,615","22,197"
Nolambur,Census Town,Thiruvallur,...,...,"21,973"
Nullivilai,Census Town,Kanniyakumari,...,...,"16,138"
Odaipatti,Town Panchayat,Theni,...,"13,183","13,892"
Odaiyakulam,Town Panchayat,Coimbatore,...,"11,999","13,370"
Oddanchatram,Town Panchayat,Dindigul,...,"24,132","30,064"
Odugathur,Town Panchayat,Vellore,...,"8,148","8,998"
Oggiyamduraipakkam,Census Town,Kanchipuram,...,"25,952","76,600"
Olagadam,Town Panchayat,Erode,...,"9,370","9,958"
Omalur,Town Panchayat,Salem,"11,884","13,291","16,279"
Orathanadu (Mukthambalpuram),Town Panchayat,Thanjavur,...,"10,172","10,247"
Orikkai,Census Town,Kanchipuram,...,...,"12,638"
Othakadai,Census Town,Madurai,"8,912","12,185","15,152"
Othakalmandapam,Town Panchayat,Coimbatore,...,"10,320","12,207"
Ottapparai,Census Town,Erode,"6,423","9,208","9,493"
O' Valley,Town Panchayat,The Nilgiris,"22,713","24,793","21,943"
Overi,Census Town,Tirunelveli,...,...,"5,694"
Pachchal,Census Town,Vellore,...,"15,288","16,789"
Pacode,Town Panchayat,Kanniyakumari,...,"22,781","24,050"
Padaiveedu,Town Panchayat,Namakkal,...,"10,066","10,451"
Padandal,Census Town,Virudhunagar,...,...,"8,429"
Padappai,Census Town,Kanchipuram,...,"8,285","14,063"
Padianallur,Census Town,Thiruvallur,"18,004","20,938","23,819"
Padikkasu vaithanpatti,Census Town,Virudhunagar,...,"6,805","9,538"
Padirikuppam,Census Town,Cuddalore,...,"16,075","18,745"
Padmanabhapuram,Municipality,Kanniyakumari,"19,269","20,075","21,342"
Painkulam,Census Town,Kanniyakumari,...,"21,337","23,630"
Paiyur,Census Town,Tiruvannamalai,...,"5,818","7,555"
Palaganangudy,Census Town,Tiruchirappalli,...,"9,210","13,469"
Palakkodu,Town Panchayat,Dharmapuri,"15,853","18,667","20,959"
Palamedu,Town Panchayat,Madurai,...,"8,183","10,493"
Palangarai,Census Town,Tiruppur,...,"9,821","17,248"
Palani,Municipality,Dindigul,"68,907","67,231","70,467"
Palani Chettipatti,Town Panchayat,Theni,...,"11,750","14,879"
Palappallam,Town Panchayat,Kanniyakumari,...,"16,652","18,589"
Palavakkam,Census Town,Kanchipuram,...,"14,361","26,766"
Palavansathu,Census Town,Vellore,"7,883","16,962","22,176"
Palayam,Town Panchayat,Dindigul,...,"13,300","15,336"
Palayampatti,Census Town,Virudhunagar,...,"14,017","18,576"
Palladam,Municipality,Tiruppur,"22,406","30,016","42,225"
Pallanthurai,Census Town,Kanniyakumari,...,...,"5,386"
Pallapalayam,Town Panchayat,Erode,...,"6,505","7,263"
Pallapalayam,Town Panchayat,Coimbatore,...,"9,898","11,910"
Pallapatti,Town Panchayat,Karur,...,"19,039","30,624"
Pallapatti,Census Town,Virudhunagar,"18,991","24,326","27,925"
Pallathur,Town Panchayat,Sivaganga,...,"7,982","9,580"
Pallavaram,Municipality with Outgrowth,Kanchipuram,"111,866","144,623","233,984"
Pallikaranai,Town Panchayat,Kanchipuram,"7,822","22,070","43,493"
Pallikonda,Town Panchayat,Vellore,"18,672","20,771","23,067"
Pallipalayam,Municipality,Namakkal,"36,657","35,635","40,140"
Pallipalayam Agraharam,Census Town,Namakkal,...,"9,997","16,479"
Pallipattu,Town Panchayat,Thiruvallur,...,"8,654","8,721"
Pallippadai,Census Town,Cuddalore,...,"4,499","6,369"
Paloor,Census Town,Kanniyakumari,...,...,"6,818"
Palugal,Town Panchayat,Kanniyakumari,...,"17,686","18,276"
Pammal,Municipality,Kanchipuram,"36,506","49,999","75,870"
Panagudi,Town Panchayat,Tirunelveli,...,"25,501","29,895"
Panaimarathupatti,Town Panchayat,Salem,...,"8,125","9,368"
Panapakkam,Town Panchayat,Vellore,...,"10,151","11,536"
Pandamangalam,Town Panchayat,Namakkal,...,"5,952","7,259"
Pandavarmangalam,Census Town,Thoothukkudi,...,"10,407","14,954"
Pannaikadu,Town Panchayat,Dindigul,...,"9,473","8,731"
Pannaipuram,Town Panchayat,Theni,...,"8,347","9,323"
Panpoli,Town Panchayat,Tirunelveli,...,"8,553","9,313"
Panruti,Municipality,Cuddalore,"51,394","55,346","60,323"
Papanasam,Town Panchayat,Thanjavur,"14,997","16,404","17,548"
Pappankurichi,Census Town,Tiruchirappalli,...,"20,371","24,023"
Papparapatti,Town Panchayat,Dharmapuri,...,"11,276","12,174"
Papparapatti,Census Town,Salem,...,"9,021","9,592"
Pappireddipatti,Town Panchayat,Dharmapuri,...,"8,583","9,369"
Paramakudi,Municipality,Ramanathapuram,"72,321","84,321","95,579"
Paramathi,Town Panchayat,Namakkal,...,"11,124","11,986"
Parangipettai,Town Panchayat,Cuddalore,"23,550","20,912","25,541"
Paraniputhur,Census Town,Kanchipuram,...,...,"15,225"
Paravai,Town Panchayat,Madurai,"12,732","16,248","20,042"
Pasur,Town Panchayat,Erode,...,"3,870","3,670"
Pathamadai (Pattamadai),Town Panchayat,Tirunelveli,...,"14,957","16,625"
Pattanam,Census Town,Coimbatore,...,"6,477","9,196"
Pattinam,Town Panchayat,Namakkal,...,"8,213","8,912"
Pattinamkattan,Census Town,Ramanathapuram,...,"14,244","17,601"
Pattiveeranpatti,Town Panchayat,Dindigul,...,"7,772","8,602"
Pattukkottai,Municipality,Thanjavur,"58,062","65,533","73,135"
Pavali,Census Town,Virudhunagar,...,...,"7,622"
Peddikuppam,Census Town,Thiruvallur,...,"5,797","8,044"
Peerkankaranai,Town Panchayat with Outgrowth,Kanchipuram,"10,739","17,511","29,250"
Pennadam,Town Panchayat,Cuddalore,...,"18,166","19,494"
Pennagaram,Town Panchayat,Dharmapuri,...,"15,306","17,480"
Pennathur,Town Panchayat,Vellore,...,"8,151","9,425"
Peraiyur,Town Panchayat,Madurai,"7,830","9,614","10,394"
Peralam,Town Panchayat,Thiruvarur,...,"5,842","6,149"
Perambakkam,Census Town,Thiruvallur,...,"5,398","6,462"
Perambalur,Municipality,Perambalur,"26,451","37,631","49,648"
Peranamallur,Town Panchayat,Tiruvannamalai,...,"5,557","5,801"
Peravurani,Town Panchayat,Thanjavur,...,"21,045","22,084"
Periagaram,Census Town,Vellore,...,"4,539","4,916"
Periakottai,Census Town,Tiruppur,...,...,"17,356"
Periapattinam (Periyapattinam),Census Town,Ramanathapuram,...,"9,478","9,730"
Periyakodiveri,Town Panchayat,Erode,...,"12,405","12,330"
Periyakulam,Municipality,Theni,"46,744","42,012","42,976"
Periyakurichi,Census Town,Cuddalore,...,"6,306","7,599"
Periyamanali,Census Town,Namakkal,...,...,"6,878"
Periyanaicken-palayam,Town Panchayat,Coimbatore,"18,043","22,844","25,930"
Periya Negamam,Town Panchayat,Coimbatore,...,"7,683","7,098"
Periyapatti,Census Town,Namakkal,...,"5,772","15,690"
Periyasemur,Municipality,Erode,...,"32,024","55,282"
Pernampattu,Municipality,Vellore,"36,195","41,499","51,271"
Perumagalur,Town Panchayat,Thanjavur,...,"5,405","5,604"
Perumagoundampatti,Census Town,Salem,...,...,"7,796"
Perumanallur,Census Town,Tiruppur,...,"4,994","7,356"
Perumandi,Census Town,Thanjavur,...,"7,001","8,620"
Perundurai,Town Panchayat,Erode,...,"16,943","24,930"
Perungalathur,Town Panchayat,Kanchipuram,...,"19,594","37,342"
Perungudi,Town Panchayat,Kanchipuram,"9,709","23,581","43,111"
Perungulam,Town Panchayat,Thoothukkudi,...,"6,452","7,203"
Perur,Town Panchayat,Coimbatore,"6,823","7,965","8,004"
Perur Chettipalayam,Census Town,Coimbatore,...,"12,932","17,809"
Peruvilai,Census Town,Kanniyakumari,...,...,"6,090"
Pethampalayam,Town Panchayat,Erode,...,"7,120","7,152"
Pethanaickenpalayam,Town Panchayat,Salem,...,"16,396","17,678"
Pichandarkovil,Census Town,Tiruchirappalli,...,"10,164","17,257"
Pillanallur,Town Panchayat,Namakkal,"8,405","9,161","11,181"
P. J. Cholapuram,Town Panchayat,Karur,...,"6,552","7,484"
P. Mettupalayam,Town Panchayat,Erode,...,"9,115","9,109"
P. N. Patti,Town Panchayat,Salem,...,"23,331","25,133"
Polichalur,Census Town,Kanchipuram,"9,816","14,760","21,906"
Pollachi,Municipality,Coimbatore,"86,897","88,302","90,180"
Polur,Town Panchayat,Tiruvannamalai,"23,046","25,505","28,123"
Ponmanai,Town Panchayat,Kanniyakumari,...,"13,480","15,554"
Ponnamaravathi,Town Panchayat,Pudukkottai,...,"11,776","12,676"
Ponnampatti,Town Panchayat,Tiruchirappalli,...,"10,660","12,167"
Ponneri,Town Panchayat,Thiruvallur,"22,375","24,309","31,025"
Poolambadi,Town Panchayat,Perambalur,...,"10,027","10,737"
Poolampatti,Town Panchayat,Salem,...,"8,999","9,477"
Poolankinar,Census Town,Tiruppur,...,"4,779","4,849"
Pooluvapatti,Town Panchayat,Coimbatore,...,"11,964","12,853"
Poonamallee,Municipality with Outgrowth,Thiruvallur,"28,827","42,604","60,607"
Poravacheri,Census Town,Nagapattinam,...,"4,115","4,422"
Porur,Town Panchayat,Thiruvallur,"19,507","28,924","46,690"
Pothanur,Town Panchayat,Namakkal,...,"13,728","18,455"
Pothatturpettai,Town Panchayat,Thiruvallur,...,"18,715","22,040"
Pudiyamputhur,Census Town,Thoothukkudi,...,...,"8,012"
Pudukkottai,Census Town,Pudukkottai,"11,091","17,607","26,116"
Pudukkottai,Municipality,Pudukkottai,"99,058","109,217","117,630"
Pudupalayam,Town Panchayat,Tiruvannamalai,...,"10,005","11,382"
Pudupalayam Agraharam,Census Town,Namakkal,...,"5,419","5,704"
Pudupatti,Town Panchayat,Theni,...,"10,015","11,511"
Pudupattinam,Census Town,Kanchipuram,"15,044","20,901","21,151"
Pudupattinam,Census Town,Thanjavur,...,"7,261","10,210"
Pudur (S),Town Panchayat,Tirunelveli,...,"11,110","12,457"
Puduvayal,Town Panchayat,Sivaganga,"7,381","9,255","11,284"
Puliankudi (Puliyankudi),Municipality,Tirunelveli,"53,287","60,080","66,034"
Puliyoorsalai,Census Town,Kanniyakumari,...,...,"6,361"
Puliyur,Town Panchayat,Karur,...,"11,491","12,720"
Pullampadi (Pullambadi),Town Panchayat,Tiruchirappalli,...,"11,215","10,241"
Punjaipugalur,Town Panchayat,Karur,"16,191","20,309","23,408"
Punjaipuliampatti,Municipality,Erode,"15,075","14,832","18,967"
Punjai Thottakurichi,Town Panchayat,Karur,...,"9,649","10,969"
Puthagaram,Census Town,Thiruvallur,...,"6,451","10,263"
Puthalam,Town Panchayat,Kanniyakumari,...,"11,835","13,073"
Putheri,Census Town,Kanniyakumari,...,...,"5,576"
Puthukkadai,Town Panchayat,Kanniyakumari,...,"9,037","9,909"
Puthur Agraharam,Census Town,Salem,...,...,"11,173"
Puvalur (Poovalur),Town Panchayat,Tiruchirappalli,"8,109","8,906","7,905"
Puzhal,Town Panchayat,Thiruvallur,"15,868","20,639","31,665"
Puzhithivakkam (Ullagaram),Municipality,Kanchipuram,"16,133","30,422","53,322"
Rajapalayam,Municipality,Virudhunagar,"114,202","122,307","130,442"
Rajapalayam,Census Town,Salem,...,...,"5,807"
Ramalingapuram,Census Town,Virudhunagar,...,"3,912","4,505"
Ramanathapuram,Municipality,Ramanathapuram,"52,879","62,050","61,440"
Ramapuram,Census Town,Thiruvallur,...,"27,895","52,295"
Rameswaram,Municipality,Ramanathapuram,"32,721","37,968","44,856"
Ranipettai (Ranipet),Municipality,Vellore,"42,583","47,243","50,764"
Rasipuram,Municipality,Namakkal,"39,386","46,330","50,244"
Rayagiri,Town Panchayat,Tirunelveli,...,"10,855","11,223"
Reethapuram,Town Panchayat,Kanniyakumari,...,"11,887","21,177"
Rosalpatti,Census Town,Virudhunagar,"15,957","19,701","22,524"
R. Pudupatti,Town Panchayat,Namakkal,...,"11,915","7,478"
R. S. Mangalam,Town Panchayat,Ramanathapuram,...,"11,043","14,565"
Rudravathi,Town Panchayat,Tiruppur,...,"6,107","6,807"
Sakkarakottai,Census Town,Ramanathapuram,...,...,"15,355"
Sakkimangalam,Census Town,Madurai,...,"6,368","10,854"
Salamedu,Census Town,Viluppuram,...,...,"20,854"
Salangapalayam,Town Panchayat,Erode,...,"14,702","15,609"
Salem,Municipal Corporation,Salem,"366,712","696,760","829,267"
Samalapuram,Town Panchayat,Tiruppur,...,"14,705","20,691"
Samanatham,Census Town,Madurai,...,...,"4,477"
Samathur,Town Panchayat,Coimbatore,...,"5,812","5,762"
Samayanallur,Census Town,Madurai,...,"8,622","9,227"
Sambavar Vadagarai,Town Panchayat,Tirunelveli,...,"14,647","16,709"
Samusigapuram,Census Town,Virudhunagar,...,"11,651","14,601"
Sankaramanallur,Town Panchayat,Tiruppur,...,"9,543","10,283"
Sankarankoil (Sankarankovil),Municipality,Tirunelveli,"48,846","53,606","57,277"
Sankaraperi,Census Town,Thoothukkudi,...,"11,551","19,844"
Sankarapuram,Town Panchayat,Viluppuram,"5,456","12,263","15,664"
Sankarapuram,Census Town,Sivaganga,...,...,"26,536"
Sankari (Sankagiri),Town Panchayat,Salem,...,"27,454","29,467"
Sankarnagar,Town Panchayat,Tirunelveli,"4,533","5,203","7,095"
Sanniyasigundu,Census Town,Salem,...,...,"7,823"
Saravanampatti,Town Panchayat,Coimbatore,"10,753","17,737","32,920"
Sarcarsamakulam,Town Panchayat,Coimbatore,...,"7,982","10,289"
Sathankulam,Town Panchayat,Thoothukkudi,...,"14,206","14,193"
Sathiyavijayanagaram,Census Town,Tiruvannamalai,...,"5,681","5,894"
Sathkar,Census Town,Vellore,...,...,"8,632"
Sathuvachari (Sathuvacheri),Municipality,Vellore,...,"44,942","56,951"
Sathyamangalam,Municipality,Erode,"32,417","33,722","37,816"
Sattur,Municipality,Virudhunagar,"29,226","31,443","29,398"
Sayalgudi,Town Panchayat,Ramanathapuram,...,"12,052","14,801"
Sayapuram,Town Panchayat,Thoothukkudi,...,"12,771","12,792"
Seerapalli,Town Panchayat,Namakkal,...,"11,753","12,403"
Seithur,Town Panchayat,Virudhunagar,...,"18,012","20,228"
Selathampatti,Census Town,Salem,...,"4,721","6,659"
Sembakkam,Town Panchayat,Kanchipuram,"13,516","21,492","45,356"
Sembedu,Census Town,Vellore,...,"11,305","12,548"
Sembianallur,Census Town,Tiruppur,...,"4,514","7,586"
Semmipalayam,Census Town,Tiruppur,...,"6,184","8,429"
Senapiratti,Census Town,Karur,...,"15,083","22,447"
Sengamalanachiarpatti,Census Town,Virudhunagar,...,...,"13,811"
Senneerkuppam,Census Town,Thiruvallur,...,...,"16,237"
Senthamangalam,Town Panchayat,Namakkal,...,"18,116","19,750"
Sentharapatti,Town Panchayat,Salem,...,"13,896","14,308"
Senur,Census Town,Vellore,...,"7,569","9,078"
Sethiathoppu,Town Panchayat,Cuddalore,...,"7,963","8,824"
Sevilimedu,Town Panchayat,Kanchipuram,"13,433","16,125","23,454"
Sevugampatti,Town Panchayat,Dindigul,...,"9,902","11,730"
Sevur,Census Town,Vellore,"5,206","8,663","11,356"
Sevur,Census Town,Tiruvannamalai,...,"9,298","10,299"
